x,y,length
5.0,5.0,5524400.0
15.0,5.0,5437300.0
25.0,5.0,5132800.0
35.0,5.0,4898400.0
95.0,5.0,4100000.0
85.0,5.0,4139900.0
115.0,5.0,4038900.0
105.0,5.0,4066400.0
55.0,5.0,4451900.0
45.0,5.0,4671500.0
75.0,5.0,4186300.0
65.0,5.0,4239400.0
175.0,5.0,3923400.0
165.0,5.0,3951600.0
195.0,5.0,3883700.0
185.0,5.0,3900900.0
135.0,5.0,4001400.0
125.0,5.0,4017300.0
155.0,5.0,3985900.0
145.0,5.0,3991000.0
265.0,5.0,3043100.0
275.0,5.0,2914600.0
245.0,5.0,3309000.0
255.0,5.0,3174500.0
225.0,5.0,3588100.0
235.0,5.0,3446800.0
205.0,5.0,3882000.0
215.0,5.0,3733100.0
345.0,5.0,2247000.0
355.0,5.0,2244300.0
325.0,5.0,2353500.0
335.0,5.0,2251000.0
305.0,5.0,2563800.0
315.0,5.0,2457700.0
285.0,5.0,2788800.0
295.0,5.0,2672000.0
435.0,5.0,2245500.0
425.0,5.0,2245000.0
415.0,5.0,2244200.0
405.0,5.0,2243300.0
395.0,5.0,2242500.0
385.0,5.0,2242000.0
375.0,5.0,2242000.0
365.0,5.0,2242700.0
515.0,5.0,2322500.0
505.0,5.0,2314100.0
495.0,5.0,2304600.0
485.0,5.0,2294400.0
475.0,5.0,2283900.0
465.0,5.0,2273500.0
455.0,5.0,2263600.0
445.0,5.0,2254600.0
615.0,5.0,3258300.0
605.0,5.0,3111800.0
635.0,5.0,3564400.0
625.0,5.0,3409100.0
655.0,5.0,3889300.0
645.0,5.0,3724400.0
675.0,5.0,4234600.0
665.0,5.0,4059300.0
535.0,5.0,2334400.0
525.0,5.0,2329400.0
555.0,5.0,2455700.0
545.0,5.0,2337100.0
575.0,5.0,2702400.0
565.0,5.0,2577400.0
595.0,5.0,2969400.0
585.0,5.0,2830900.0
5.0,15.0,5291500.0
15.0,15.0,5204400.0
25.0,15.0,5125200.0
35.0,15.0,4828400.0
45.0,15.0,4601500.0
55.0,15.0,4381900.0
65.0,15.0,4169400.0
75.0,15.0,3963800.0
685.0,5.0,4819700.0
695.0,5.0,4945100.0
705.0,5.0,5069000.0
715.0,5.0,5191000.0
725.0,5.0,5310700.0
735.0,5.0,5427700.0
745.0,5.0,5541600.0
195.0,15.0,3679600.0
185.0,15.0,3692500.0
175.0,15.0,3710500.0
165.0,15.0,3734000.0
235.0,15.0,3395700.0
225.0,15.0,3537000.0
215.0,15.0,3682000.0
205.0,15.0,3830900.0
115.0,15.0,3816400.0
105.0,15.0,3843900.0
95.0,15.0,3877500.0
85.0,15.0,3917400.0
155.0,15.0,3763400.0
145.0,15.0,3768500.0
135.0,15.0,3778900.0
125.0,15.0,3794800.0
345.0,15.0,2086100.0
355.0,15.0,2083400.0
325.0,15.0,2289600.0
335.0,15.0,2187100.0
385.0,15.0,2081100.0
395.0,15.0,2081600.0
365.0,15.0,2081800.0
375.0,15.0,2081100.0
265.0,15.0,2992000.0
275.0,15.0,2863500.0
245.0,15.0,3257900.0
255.0,15.0,3123400.0
305.0,15.0,2499900.0
315.0,15.0,2393800.0
285.0,15.0,2737700.0
295.0,15.0,2614400.0
535.0,15.0,2157500.0
525.0,15.0,2155000.0
555.0,15.0,2391800.0
545.0,15.0,2273200.0
495.0,15.0,2136500.0
485.0,15.0,2128000.0
515.0,15.0,2150400.0
505.0,15.0,2144100.0
455.0,15.0,2101100.0
445.0,15.0,2093000.0
475.0,15.0,2119000.0
465.0,15.0,2109900.0
415.0,15.0,2083300.0
405.0,15.0,2082400.0
435.0,15.0,2084600.0
425.0,15.0,2084100.0
685.0,15.0,4581300.0
695.0,15.0,4701000.0
705.0,15.0,4819000.0
715.0,15.0,4934900.0
645.0,15.0,3666800.0
655.0,15.0,3831700.0
665.0,15.0,4001700.0
675.0,15.0,4460300.0
605.0,15.0,3054200.0
615.0,15.0,3200700.0
625.0,15.0,3351500.0
635.0,15.0,3506800.0
565.0,15.0,2513500.0
575.0,15.0,2638500.0
585.0,15.0,2773300.0
595.0,15.0,2911800.0
115.0,25.0,3601800.0
105.0,25.0,3629300.0
95.0,25.0,3662900.0
85.0,25.0,3702800.0
75.0,25.0,3901700.0
65.0,25.0,4107300.0
55.0,25.0,4319800.0
45.0,25.0,4539400.0
35.0,25.0,4828700.0
25.0,25.0,4900200.0
15.0,25.0,4979400.0
5.0,25.0,5066500.0
745.0,15.0,5266000.0
735.0,15.0,5158800.0
725.0,15.0,5048300.0
265.0,25.0,2948800.0
275.0,25.0,2820300.0
245.0,25.0,3214700.0
255.0,25.0,3080200.0
225.0,25.0,3493800.0
235.0,25.0,3352500.0
205.0,25.0,3479300.0
215.0,25.0,3638800.0
185.0,25.0,3492000.0
195.0,25.0,3483400.0
165.0,25.0,3524300.0
175.0,25.0,3505500.0
145.0,25.0,3553900.0
155.0,25.0,3548800.0
125.0,25.0,3580200.0
135.0,25.0,3564300.0
475.0,25.0,1962000.0
465.0,25.0,1954200.0
455.0,25.0,1946500.0
445.0,25.0,1939300.0
515.0,25.0,1986200.0
505.0,25.0,1982000.0
495.0,25.0,1976300.0
485.0,25.0,1969500.0
555.0,25.0,2335800.0
545.0,25.0,2217200.0
535.0,25.0,2101500.0
525.0,25.0,1988500.0
595.0,25.0,2862100.0
585.0,25.0,2723600.0
575.0,25.0,2588800.0
565.0,25.0,2457500.0
305.0,25.0,2450200.0
315.0,25.0,2337800.0
285.0,25.0,2694500.0
295.0,25.0,2571200.0
345.0,25.0,2030100.0
355.0,25.0,1930400.0
325.0,25.0,2233600.0
335.0,25.0,2131100.0
385.0,25.0,1928100.0
395.0,25.0,1928600.0
365.0,25.0,1928800.0
375.0,25.0,1928100.0
