x,y,length
7.0,2.0,1.0324E7
12.0,2.0,1.0089575E7
17.0,2.0,9859075.0
22.0,2.0,9632450.0
27.0,2.0,9409650.0
32.0,2.0,9190625.0
37.0,2.0,8975325.0
42.0,2.0,8763700.0
2.0,2.0,1.0672525E7
102.0,2.0,7608225.0
97.0,2.0,7641225.0
92.0,2.0,7677300.0
87.0,2.0,7716500.0
122.0,2.0,7505975.0
117.0,2.0,7527175.0
112.0,2.0,7551250.0
107.0,2.0,7578250.0
62.0,2.0,7961125.0
57.0,2.0,8150375.0
52.0,2.0,8351275.0
47.0,2.0,8555700.0
82.0,2.0,7758875.0
77.0,2.0,7804475.0
72.0,2.0,7853350.0
67.0,2.0,7905550.0
177.0,2.0,7316125.0
182.0,2.0,7293875.0
167.0,2.0,7369050.0
172.0,2.0,7341150.0
197.0,2.0,7242775.0
202.0,2.0,6996100.0
187.0,2.0,7274300.0
192.0,2.0,7257300.0
137.0,2.0,7459125.0
142.0,2.0,7448925.0
127.0,2.0,7487600.0
132.0,2.0,7472000.0
157.0,2.0,7433875.0
162.0,2.0,7399925.0
147.0,2.0,7441350.0
152.0,2.0,7436350.0
272.0,2.0,5230350.0
267.0,2.0,5344675.0
282.0,2.0,5005625.0
277.0,2.0,5117350.0
252.0,2.0,5696100.0
247.0,2.0,5816225.0
262.0,2.0,5460375.0
257.0,2.0,5577500.0
232.0,2.0,6189375.0
227.0,2.0,6319225.0
242.0,2.0,5937925.0
237.0,2.0,6061250.0
212.0,2.0,6719625.0
207.0,2.0,6856875.0
222.0,2.0,6450850.0
217.0,2.0,6584300.0
347.0,2.0,4078750.0
352.0,2.0,4076350.0
357.0,2.0,4074475.0
362.0,2.0,4073075.0
327.0,2.0,4094600.0
332.0,2.0,4089600.0
337.0,2.0,4085325.0
342.0,2.0,4081725.0
307.0,2.0,4473450.0
312.0,2.0,4377400.0
317.0,2.0,4282275.0
322.0,2.0,4188025.0
287.0,2.0,4895125.0
292.0,2.0,4785800.0
297.0,2.0,4677600.0
302.0,2.0,4570475.0
442.0,2.0,4140575.0
437.0,2.0,4115825.0
432.0,2.0,4094050.0
427.0,2.0,4075350.0
422.0,2.0,4075125.0
417.0,2.0,4074725.0
412.0,2.0,4074200.0
407.0,2.0,4073600.0
402.0,2.0,4072975.0
397.0,2.0,4072375.0
392.0,2.0,4071850.0
387.0,2.0,4071450.0
382.0,2.0,4071225.0
377.0,2.0,4071225.0
372.0,2.0,4071500.0
367.0,2.0,4072100.0
517.0,2.0,4277700.0
522.0,2.0,4283575.0
507.0,2.0,4263425.0
512.0,2.0,4270950.0
497.0,2.0,4246450.0
502.0,2.0,4255225.0
487.0,2.0,4227575.0
492.0,2.0,4237200.0
477.0,2.0,4207600.0
482.0,2.0,4217675.0
467.0,2.0,4187325.0
472.0,2.0,4197450.0
457.0,2.0,4167550.0
462.0,2.0,4177325.0
447.0,2.0,4149075.0
452.0,2.0,4158100.0
622.0,2.0,6266125.0
617.0,2.0,6124700.0
612.0,2.0,5985450.0
607.0,2.0,5848325.0
642.0,2.0,6854575.0
637.0,2.0,6703950.0
632.0,2.0,6555700.0
627.0,2.0,6409775.0
662.0,2.0,7481825.0
657.0,2.0,7321200.0
652.0,2.0,7163150.0
647.0,2.0,7007625.0
682.0,2.0,8151075.0
677.0,2.0,7979650.0
672.0,2.0,7811000.0
667.0,2.0,7645075.0
537.0,2.0,4294950.0
542.0,2.0,4296325.0
527.0,2.0,4288475.0
532.0,2.0,4292300.0
557.0,2.0,4624950.0
562.0,2.0,4737575.0
547.0,2.0,4404375.0
552.0,2.0,4513900.0
577.0,2.0,5085400.0
582.0,2.0,5204825.0
567.0,2.0,4851825.0
572.0,2.0,4967750.0
597.0,2.0,5580250.0
602.0,2.0,5713275.0
587.0,2.0,5326075.0
592.0,2.0,5449200.0
17.0,7.0,9785375.0
12.0,7.0,1.0015875E7
27.0,7.0,9335950.0
22.0,7.0,9558750.0
37.0,7.0,8901625.0
32.0,7.0,9116925.0
47.0,7.0,8482000.0
42.0,7.0,8690000.0
57.0,7.0,8076675.0
52.0,7.0,8277575.0
67.0,7.0,7693425.0
62.0,7.0,7879250.0
77.0,7.0,7592350.0
72.0,7.0,7641225.0
87.0,7.0,7504375.0
82.0,7.0,7546750.0
687.0,2.0,9364575.0
692.0,2.0,9491075.0
697.0,2.0,9616850.0
702.0,2.0,9741800.0
707.0,2.0,9865825.0
712.0,2.0,9988825.0
717.0,2.0,1.01107E7
722.0,2.0,1.023135E7
727.0,2.0,1.0350675E7
732.0,2.0,1.0468575E7
737.0,2.0,1.058495E7
742.0,2.0,1.06997E7
747.0,2.0,1.0812725E7
2.0,7.0,1.0447525E7
7.0,7.0,1.0360425E7
207.0,7.0,6804000.0
202.0,7.0,6943225.0
197.0,7.0,7048650.0
192.0,7.0,7061100.0
187.0,7.0,7075975.0
182.0,7.0,7093375.0
177.0,7.0,7113400.0
172.0,7.0,7136150.0
247.0,7.0,5760225.0
242.0,7.0,5881925.0
237.0,7.0,6008375.0
232.0,7.0,6136500.0
227.0,7.0,6266350.0
222.0,7.0,6397975.0
217.0,7.0,6531425.0
212.0,7.0,6666750.0
122.0,7.0,7293850.0
127.0,7.0,7275475.0
112.0,7.0,7339125.0
117.0,7.0,7315050.0
102.0,7.0,7396100.0
107.0,7.0,7366125.0
92.0,7.0,7465175.0
97.0,7.0,7429100.0
162.0,7.0,7190225.0
167.0,7.0,7161725.0
152.0,7.0,7224225.0
157.0,7.0,7221750.0
142.0,7.0,7236800.0
147.0,7.0,7229225.0
132.0,7.0,7259875.0
137.0,7.0,7247000.0
357.0,7.0,3921750.0
352.0,7.0,3923625.0
367.0,7.0,3919375.0
362.0,7.0,3920350.0
337.0,7.0,3932600.0
332.0,7.0,3936875.0
347.0,7.0,3926025.0
342.0,7.0,3929000.0
397.0,7.0,3919650.0
392.0,7.0,3919125.0
407.0,7.0,3920875.0
402.0,7.0,3920250.0
377.0,7.0,3918500.0
372.0,7.0,3918775.0
387.0,7.0,3918725.0
382.0,7.0,3918500.0
272.0,7.0,5174350.0
277.0,7.0,5061350.0
282.0,7.0,4949625.0
287.0,7.0,4839125.0
252.0,7.0,5640100.0
257.0,7.0,5521500.0
262.0,7.0,5404375.0
267.0,7.0,5288675.0
312.0,7.0,4312325.0
317.0,7.0,4217200.0
322.0,7.0,4122950.0
327.0,7.0,4029525.0
292.0,7.0,4729800.0
297.0,7.0,4621600.0
302.0,7.0,4514475.0
307.0,7.0,4408375.0
542.0,7.0,4231250.0
547.0,7.0,4339300.0
532.0,7.0,4123300.0
537.0,7.0,4124625.0
562.0,7.0,4672500.0
567.0,7.0,4786750.0
552.0,7.0,4448825.0
557.0,7.0,4559875.0
502.0,7.0,4093125.0
507.0,7.0,4100300.0
492.0,7.0,4077000.0
497.0,7.0,4085325.0
522.0,7.0,4117075.0
527.0,7.0,4120750.0
512.0,7.0,4106750.0
517.0,7.0,4112375.0
467.0,7.0,4031000.0
462.0,7.0,4021625.0
457.0,7.0,4012425.0
452.0,7.0,4003500.0
487.0,7.0,4068250.0
482.0,7.0,4059175.0
477.0,7.0,4049875.0
472.0,7.0,4040450.0
427.0,7.0,3922625.0
422.0,7.0,3922400.0
417.0,7.0,3922000.0
412.0,7.0,3921475.0
447.0,7.0,3994950.0
442.0,7.0,3986875.0
437.0,7.0,3962500.0
432.0,7.0,3941050.0
692.0,7.0,9254875.0
697.0,7.0,9377725.0
702.0,7.0,9499700.0
707.0,7.0,9620700.0
712.0,7.0,9740625.0
717.0,7.0,9859375.0
722.0,7.0,9976850.0
727.0,7.0,1.009295E7
652.0,7.0,7104075.0
657.0,7.0,7262125.0
662.0,7.0,7422750.0
667.0,7.0,7586000.0
672.0,7.0,7751925.0
677.0,7.0,7920575.0
682.0,7.0,9006950.0
687.0,7.0,9131250.0
617.0,7.0,6065625.0
612.0,7.0,5926375.0
627.0,7.0,6350700.0
622.0,7.0,6207050.0
637.0,7.0,6644875.0
632.0,7.0,6496625.0
647.0,7.0,6948550.0
642.0,7.0,6795500.0
577.0,7.0,5020325.0
572.0,7.0,4902675.0
587.0,7.0,5261000.0
582.0,7.0,5139750.0
597.0,7.0,5521175.0
592.0,7.0,5390125.0
607.0,7.0,5789250.0
602.0,7.0,5654200.0
127.0,12.0,7067225.0
132.0,12.0,7051625.0
117.0,12.0,7106800.0
122.0,12.0,7085600.0
107.0,12.0,7157875.0
112.0,12.0,7130875.0
97.0,12.0,7220850.0
102.0,12.0,7187850.0
87.0,12.0,7296125.0
92.0,12.0,7256925.0
77.0,12.0,7384100.0
82.0,12.0,7338500.0
67.0,12.0,7615425.0
72.0,12.0,7432975.0
57.0,12.0,8006850.0
62.0,12.0,7809425.0
52.0,12.0,8207750.0
47.0,12.0,8412175.0
42.0,12.0,8620175.0
37.0,12.0,8831800.0
32.0,12.0,9047100.0
27.0,12.0,9266125.0
22.0,12.0,9488925.0
17.0,12.0,9715550.0
12.0,12.0,1.0056175E7
7.0,12.0,1.01393E7
2.0,12.0,1.02264E7
747.0,7.0,1.05416E7
742.0,7.0,1.0432E7
737.0,7.0,1.0320625E7
732.0,7.0,1.0207575E7
277.0,12.0,5009225.0
282.0,12.0,4897500.0
287.0,12.0,4787000.0
292.0,12.0,4677675.0
257.0,12.0,5469375.0
262.0,12.0,5352250.0
267.0,12.0,5236550.0
272.0,12.0,5122225.0
237.0,12.0,5959375.0
242.0,12.0,5832925.0
247.0,12.0,5708100.0
252.0,12.0,5587975.0
217.0,12.0,6482425.0
222.0,12.0,6348975.0
227.0,12.0,6217350.0
232.0,12.0,6087500.0
202.0,12.0,6894225.0
197.0,12.0,6858400.0
212.0,12.0,6617750.0
207.0,12.0,6755000.0
182.0,12.0,6896750.0
177.0,12.0,6914550.0
192.0,12.0,6868775.0
187.0,12.0,6881525.0
162.0,12.0,6984400.0
157.0,12.0,7013500.0
172.0,12.0,6935025.0
167.0,12.0,6958275.0
142.0,12.0,7028550.0
137.0,12.0,7038750.0
152.0,12.0,7015975.0
147.0,12.0,7020975.0
487.0,12.0,3912800.0
492.0,12.0,3920675.0
477.0,12.0,3896025.0
482.0,12.0,3904550.0
467.0,12.0,3878550.0
472.0,12.0,3887325.0
457.0,12.0,3861175.0
462.0,12.0,3869800.0
527.0,12.0,3956900.0
532.0,12.0,3958175.0
517.0,12.0,3950925.0
522.0,12.0,3954450.0
507.0,12.0,3941050.0
512.0,12.0,3946425.0
497.0,12.0,3928075.0
502.0,12.0,3934900.0
572.0,12.0,4841475.0
567.0,12.0,4725550.0
562.0,12.0,4611300.0
557.0,12.0,4498675.0
552.0,12.0,4387625.0
547.0,12.0,4278100.0
542.0,12.0,4170050.0
537.0,12.0,4063425.0
612.0,12.0,5871175.0
607.0,12.0,5734050.0
602.0,12.0,5599000.0
597.0,12.0,5465975.0
592.0,12.0,5334925.0
587.0,12.0,5205800.0
582.0,12.0,5078550.0
577.0,12.0,4959125.0
317.0,12.0,4156000.0
322.0,12.0,4061750.0
327.0,12.0,3968325.0
332.0,12.0,3875675.0
297.0,12.0,4569475.0
302.0,12.0,4462350.0
307.0,12.0,4356250.0
312.0,12.0,4251125.0
357.0,12.0,3772900.0
362.0,12.0,3771500.0
367.0,12.0,3770525.0
372.0,12.0,3769925.0
337.0,12.0,3783750.0
342.0,12.0,3780150.0
347.0,12.0,3777175.0
352.0,12.0,3774775.0
402.0,12.0,3771400.0
397.0,12.0,3770800.0
412.0,12.0,3772625.0
407.0,12.0,3772025.0
382.0,12.0,3769650.0
377.0,12.0,3769650.0
392.0,12.0,3770275.0
387.0,12.0,3769875.0
442.0,12.0,3837050.0
437.0,12.0,3813050.0
452.0,12.0,3852775.0
447.0,12.0,3844700.0
422.0,12.0,3773550.0
417.0,12.0,3773150.0
432.0,12.0,3791925.0
427.0,12.0,3773775.0
32.0,17.0,8981100.0
37.0,17.0,8765800.0
22.0,17.0,9422925.0
27.0,17.0,9200125.0
52.0,17.0,8141750.0
57.0,17.0,7940850.0
42.0,17.0,8554175.0
47.0,17.0,8346175.0
72.0,17.0,7358800.0
77.0,17.0,7179675.0
62.0,17.0,7743425.0
67.0,17.0,7549425.0
92.0,17.0,7052500.0
97.0,17.0,7016425.0
82.0,17.0,7134075.0
87.0,17.0,7091700.0
117.0,17.0,6902375.0
112.0,17.0,6926450.0
107.0,17.0,6953450.0
102.0,17.0,6983425.0
137.0,17.0,6834325.0
132.0,17.0,6847200.0
127.0,17.0,6862800.0
122.0,17.0,6881175.0
157.0,17.0,6809075.0
152.0,17.0,6811550.0
147.0,17.0,6816550.0
142.0,17.0,6824125.0
177.0,17.0,6719525.0
172.0,17.0,6737725.0
167.0,17.0,6758650.0
162.0,17.0,6782400.0
617.0,12.0,6010425.0
622.0,12.0,6151850.0
627.0,12.0,6295500.0
632.0,12.0,6441425.0
637.0,12.0,6589675.0
642.0,12.0,6740300.0
647.0,12.0,6893350.0
652.0,12.0,7048875.0
657.0,12.0,7206925.0
662.0,12.0,7367550.0
667.0,12.0,7530800.0
672.0,12.0,7696725.0
677.0,12.0,8658225.0
682.0,12.0,8780325.0
687.0,12.0,8901800.0
692.0,12.0,9022550.0
702.0,12.0,9261475.0
697.0,12.0,9142475.0
712.0,12.0,9496300.0
707.0,12.0,9379450.0
722.0,12.0,9726225.0
717.0,12.0,9611925.0
732.0,12.0,9950450.0
727.0,12.0,9839100.0
742.0,12.0,1.0168175E7
737.0,12.0,1.0060175E7
747.0,12.0,1.027435E7
7.0,17.0,9922000.0
2.0,17.0,1.00091E7
17.0,17.0,9759675.0
12.0,17.0,9838875.0
417.0,17.0,3628125.0
412.0,17.0,3627600.0
407.0,17.0,3627000.0
402.0,17.0,3626375.0
397.0,17.0,3625775.0
392.0,17.0,3625250.0
387.0,17.0,3624850.0
382.0,17.0,3624625.0
377.0,17.0,3624625.0
372.0,17.0,3624900.0
